date,open,high,low,close,volume
2025-09-27,86.74,87.8,86.52,87.16,17554176
2025-09-28,87.29,87.83,86.58,87.09,1367989
2025-09-29,88.14,88.4,87.77,88.11,9412251
2025-09-30,87.89,89.11,87.15,88.12,11374656
2025-10-01,89.04,89.24,87.42,88.28,7368437
2025-10-02,86.45,87.18,85.87,86.3,14243655
2025-10-03,86.4,87.48,86.05,86.82,12153328
2025-10-04,86.4,88.53,86.15,87.2,7406542
2025-10-05,89.75,90.36,88.89,89.55,5575049
2025-10-06,87.44,88.2,87.26,87.71,6040250
2025-10-07,87.54,87.93,85.79,86.72,8011033
2025-10-08,86.67,89.45,85.13,87.23,15620480
2025-10-09,88.9,90.05,87.5,88.88,2672100
2025-10-10,92.58,93.28,90.27,91.68,16939623
2025-10-11,93.28,93.65,93.07,93.27,13697790
2025-10-12,93.02,93.51,92.95,93.18,11994575
2025-10-13,94.23,94.57,94.1,94.35,5884964
2025-10-14,94.63,96.01,93.95,95.34,16921920
2025-10-15,95.18,95.58,95.08,95.31,3394903
2025-10-16,97.89,98.4,96.57,97.52,5863393
2025-10-17,97.44,98.59,96.85,97.53,12769097
2025-10-18,100.04,100.25,99.82,99.97,19783002
2025-10-19,99.77,102.73,99.19,100.44,4433026
2025-10-20,98.6,100.23,97.9,99.05,15815920
2025-10-21,97.05,97.13,96.05,96.62,3031996
2025-10-22,98.2,100.22,97.42,99.0,8549996
2025-10-23,97.43,97.77,97.17,97.46,10539326
2025-10-24,97.82,99.06,96.22,97.84,5141717
2025-10-25,97.71,97.78,95.51,96.27,10567214
2025-10-26,94.32,96.27,93.29,94.6,2921314
2025-10-27,93.96,94.13,93.08,93.62,13003236
2025-10-28,92.68,92.98,92.11,92.49,17491670
2025-10-29,89.95,90.15,88.97,89.65,2971166
2025-10-30,89.17,90.97,88.17,89.82,14063444
2025-10-31,89.3,90.49,86.7,88.73,10710905
2025-11-01,90.51,90.71,89.56,90.07,10031618
2025-11-02,89.33,90.75,89.01,90.1,11821300
2025-11-03,89.39,89.46,88.89,89.13,4108418
2025-11-04,89.1,89.79,88.88,89.24,16322429
2025-11-05,88.51,89.16,88.16,88.59,6882611
2025-11-06,88.06,88.07,86.42,86.95,9067153
2025-11-07,86.42,88.49,86.41,87.47,9962823
2025-11-08,87.34,87.72,86.83,87.33,1475966
2025-11-09,84.89,87.13,84.68,86.04,11775018
2025-11-10,84.31,85.11,84.0,84.54,7274627
2025-11-11,84.5,85.23,84.04,84.69,11444046
2025-11-12,84.11,85.66,82.87,84.2,12807155
2025-11-13,83.77,84.09,83.31,83.62,1818579
2025-11-14,80.29,80.76,80.06,80.49,6812960
2025-11-15,81.62,81.69,80.0,80.92,19273987
2025-11-16,80.28,81.0,79.24,80.04,16636013
2025-11-17,78.6,79.54,78.39,78.88,8522581
2025-11-18,78.81,79.23,77.84,78.57,10339882
2025-11-19,78.71,79.08,78.7,78.87,1788943
2025-11-20,77.84,78.33,77.63,77.95,12180114
2025-11-21,79.64,79.84,79.14,79.48,13912706
2025-11-22,79.93,80.09,79.26,79.62,10111033
2025-11-23,78.68,78.83,78.35,78.63,7799155
2025-11-24,78.93,79.28,78.76,79.0,18719358
2025-11-25,77.92,78.18,77.77,77.98,1629613
2025-11-26,78.19,79.31,78.12,78.67,18312364
2025-11-27,79.01,79.71,78.91,79.42,16616688
2025-11-28,78.73,79.22,77.26,78.39,11906862
2025-11-29,80.86,81.07,80.08,80.61,13564724
2025-11-30,78.93,79.26,77.85,78.67,5111399
2025-12-01,80.71,80.73,80.29,80.51,2194532
2025-12-02,81.33,81.76,81.07,81.39,14111546
2025-12-03,82.07,82.71,81.95,82.29,5201487
2025-12-04,84.74,84.94,82.61,83.56,9660308
2025-12-05,84.17,84.46,84.12,84.31,4598452
2025-12-06,84.41,84.69,84.29,84.51,12646539
2025-12-07,85.27,86.19,83.6,84.81,14990390
2025-12-08,85.55,87.92,84.95,86.32,6966763
2025-12-09,85.95,87.22,85.9,86.31,10735925
2025-12-10,85.83,86.31,85.8,86.07,3060094
2025-12-11,85.49,85.86,85.12,85.51,14146598
2025-12-12,84.36,84.68,83.26,83.88,9052673
2025-12-13,85.69,86.14,85.68,85.86,1223672
2025-12-14,84.58,85.39,84.41,84.76,4151458
2025-12-15,85.64,86.95,85.23,86.06,4694543
2025-12-16,84.85,86.64,84.35,85.52,6881537
2025-12-17,87.09,87.55,87.05,87.33,18826707
2025-12-18,88.34,88.83,88.33,88.55,16040874
2025-12-19,89.6,90.59,89.47,90.19,15880184
2025-12-20,91.38,91.56,90.59,91.13,7408208
2025-12-21,91.83,92.16,91.15,91.82,6852249
2025-12-22,91.13,92.46,91.04,91.65,4061745
2025-12-23,90.97,91.23,90.92,91.08,15030793
2025-12-24,89.79,90.62,88.94,89.89,13908878
2025-12-25,88.59,89.29,88.16,88.76,17813461
2025-12-26,87.68,87.83,86.88,87.48,10929297
2025-12-27,87.72,87.9,86.54,87.24,14094923
2025-12-28,87.7,88.05,87.12,87.58,3415117
2025-12-29,87.28,87.82,86.94,87.3,15221172
2025-12-30,89.03,89.06,86.14,87.45,12752718
2025-12-31,87.33,87.43,86.4,86.82,19079794
2026-01-01,87.06,87.17,86.7,86.92,13979594
2026-01-02,86.78,87.63,85.59,86.48,12222355
2026-01-03,85.64,85.98,84.98,85.58,18303893
2026-01-04,83.4,83.79,83.13,83.43,11573949
2026-01-05,82.87,83.34,81.28,82.52,11150357
2026-01-06,82.82,83.1,80.83,81.87,12787230
2026-01-07,81.94,82.28,81.44,81.93,17735733
2026-01-08,79.78,80.7,79.4,80.22,19198996
2026-01-09,77.98,78.28,77.67,77.94,8550497
2026-01-10,77.89,78.54,77.42,77.98,8114496
2026-01-11,77.72,78.72,76.74,78.0,6545869
2026-01-12,76.78,78.82,76.66,77.76,17140933
2026-01-13,78.15,78.3,77.89,78.05,14265424
2026-01-14,77.31,78.64,77.19,78.08,10455102
2026-01-15,79.46,79.64,76.93,78.44,11764095
2026-01-16,75.99,77.58,75.71,76.54,13180644
2026-01-17,77.85,78.31,76.9,77.43,1491217
2026-01-18,77.89,78.39,77.34,77.76,3862454
2026-01-19,77.4,77.69,76.59,77.13,12193914
2026-01-20,76.98,76.99,76.05,76.6,3379874
2026-01-21,76.43,76.49,74.69,75.54,11469102
2026-01-22,74.44,75.33,74.29,74.8,15253012
2026-01-23,74.71,75.41,74.65,74.97,10051427
2026-01-24,74.43,75.0,73.51,74.3,15171781
2026-01-25,75.47,75.47,75.24,75.34,6689275
2026-01-26,74.63,76.41,73.42,74.95,4957632
2026-01-27,75.2,75.48,74.61,75.12,1887033
2026-01-28,75.53,75.74,74.75,75.23,7228843
2026-01-29,75.58,75.79,74.95,75.32,10287736
2026-01-30,77.16,77.5,76.78,77.21,15297824
2026-01-31,78.29,78.89,77.76,78.47,2431299
2026-02-01,79.57,79.71,77.92,79.02,9989437
2026-02-02,80.3,81.4,78.75,79.93,3261307
2026-02-03,79.01,80.07,78.85,79.57,7958408
2026-02-04,78.08,78.37,77.5,77.83,5553299
2026-02-05,75.85,77.53,75.47,76.19,7669912
2026-02-06,78.54,78.6,76.07,77.22,4319028
2026-02-07,76.27,76.9,75.3,76.07,19594715
2026-02-08,75.25,75.4,74.36,74.97,15218546
2026-02-09,76.24,76.31,74.78,75.51,12657338
2026-02-10,72.76,73.22,72.74,72.94,16764597
2026-02-11,72.09,74.14,71.97,73.14,1174403
2026-02-12,71.65,71.7,71.26,71.48,7157575
2026-02-13,70.86,71.24,70.28,70.77,13524717
2026-02-14,68.53,69.05,68.21,68.62,16692226
2026-02-15,66.34,67.18,66.0,66.41,12043816
2026-02-16,66.29,66.39,64.97,65.65,11286720
2026-02-17,67.19,67.28,65.42,66.37,8453729
2026-02-18,64.46,65.06,64.23,64.61,7533796
2026-02-19,65.16,65.36,64.42,64.89,8086127
2026-02-20,64.64,66.17,64.19,65.28,18754055
2026-02-21,66.8,67.0,64.97,66.06,6253652
2026-02-22,66.0,66.1,64.7,65.5,2597471
2026-02-23,65.48,65.5,65.07,65.28,11855024
2026-02-24,65.59,66.02,65.23,65.54,16658287
2026-02-25,65.91,65.92,65.18,65.56,7546907
2026-02-26,64.08,64.43,63.55,64.07,1770034
2026-02-27,63.25,64.0,63.0,63.51,6512984
2026-02-28,62.25,62.48,62.2,62.35,14936995
2026-03-01,61.93,62.13,61.68,61.88,5565287
2026-03-02,60.09,60.87,59.96,60.45,4431258
2026-03-03,60.34,60.46,60.15,60.29,10968783
2026-03-04,60.38,60.57,60.13,60.28,4483498
2026-03-05,58.69,60.57,58.12,59.31,15604968
2026-03-06,56.68,58.1,56.36,57.22,1222376
2026-03-07,57.46,57.63,56.55,57.06,19875664
2026-03-08,55.73,56.73,55.54,56.07,8365574
2026-03-09,55.3,55.53,54.96,55.2,18537202
2026-03-10,54.5,54.76,53.96,54.21,11658543
2026-03-11,54.99,55.17,53.87,54.3,17072267
2026-03-12,55.73,56.32,54.29,55.2,3515518
2026-03-13,55.98,56.67,55.7,56.34,9554798
2026-03-14,55.92,55.94,55.08,55.52,16296448
2026-03-15,55.57,56.46,55.48,56.09,1603706
2026-03-16,55.5,56.14,55.38,55.64,4519520
2026-03-17,56.2,56.44,54.48,55.45,10678006
2026-03-18,57.9,57.91,56.36,56.9,7742095
2026-03-19,56.35,56.47,55.92,56.26,4330709
2026-03-20,55.44,55.59,55.38,55.47,11132126
2026-03-21,55.2,55.41,54.6,54.92,13791794
2026-03-22,55.55,55.94,55.31,55.56,18474107
2026-03-23,56.13,56.45,55.66,56.07,3528842
2026-03-24,56.65,57.34,55.67,56.5,2351701
2026-03-25,57.83,57.9,57.04,57.47,2201405
2026-03-26,58.97,59.13,58.43,58.82,12625756
2026-03-27,60.14,60.42,59.69,60.0,12952051
2026-03-28,60.43,61.19,59.48,60.32,13280374
2026-03-29,59.33,59.61,58.63,59.23,1247805
2026-03-30,59.34,59.51,58.72,59.09,9939872
2026-03-31,59.01,59.28,58.55,58.97,7933775
2026-04-01,59.27,59.47,58.84,59.26,5690396
2026-04-02,58.81,59.18,58.01,58.62,6134741
2026-04-03,59.56,60.07,59.4,59.8,10594027
2026-04-04,59.43,59.67,58.78,59.18,17551784
2026-04-05,60.29,60.62,59.24,60.0,1954754
2026-04-06,59.89,60.85,59.54,60.04,18230344
2026-04-07,60.91,61.72,60.89,61.36,18997774
2026-04-08,63.29,63.46,63.16,63.34,15386587
2026-04-09,64.52,64.56,63.24,63.92,19895298
2026-04-10,63.91,64.11,63.19,63.66,7084485
2026-04-11,64.96,65.69,63.3,64.33,14017861
2026-04-12,63.49,63.77,63.18,63.41,17694070
2026-04-13,64.65,65.04,62.8,63.7,19399721
2026-04-14,63.54,64.15,62.94,63.65,11835353
2026-04-15,63.82,64.12,63.72,63.86,9715720
2026-04-16,65.05,65.56,64.9,65.3,19791037
2026-04-17,65.55,65.98,63.95,65.18,19419259
2026-04-18,64.74,65.2,64.55,64.82,11475546
2026-04-19,66.77,67.33,64.47,65.65,19970136
2026-04-20,65.49,65.76,64.93,65.35,8796656
2026-04-21,68.02,68.15,66.74,67.4,17084541
2026-04-22,66.78,66.97,66.36,66.64,10314184
2026-04-23,66.46,66.76,66.21,66.49,9764753
2026-04-24,64.67,65.23,64.63,64.89,2745129
2026-04-25,64.47,66.01,63.63,64.89,5893533
2026-04-26,63.92,64.84,63.39,64.3,8896537
2026-04-27,64.75,64.9,64.62,64.73,3905628
2026-04-28,63.69,63.98,63.63,63.81,10278921
2026-04-29,65.09,65.14,64.02,64.49,18660126
2026-04-30,64.33,65.38,63.87,64.84,15782438
2026-05-01,64.16,64.37,63.97,64.18,17195792
2026-05-02,62.53,62.54,61.4,61.84,8069835
2026-05-03,63.33,63.67,63.01,63.4,5954800
2026-05-04,62.68,63.42,61.76,62.65,1903279
2026-05-05,62.81,63.4,62.6,62.95,9070908
2026-05-06,62.53,62.74,62.31,62.48,16884766
2026-05-07,62.2,62.67,62.15,62.38,2142913
2026-05-08,64.02,64.41,63.9,64.17,15977741
2026-05-09,64.06,64.7,62.3,63.61,14396258
2026-05-10,63.7,64.03,63.53,63.8,13504656
2026-05-11,64.1,64.39,63.69,64.0,7396395
2026-05-12,63.16,63.95,62.72,63.24,11484979
2026-05-13,62.82,63.15,62.4,62.78,13023961
2026-05-14,64.67,65.12,64.09,64.74,4793051
2026-05-15,65.13,65.45,64.59,65.03,1644979
2026-05-16,65.0,65.07,64.88,64.98,12292419
2026-05-17,63.45,64.43,63.45,63.98,18782722
2026-05-18,64.51,65.13,62.43,63.83,7702751
2026-05-19,65.89,66.2,65.88,66.06,16776302
2026-05-20,67.14,67.34,66.61,66.89,2283556
2026-05-21,66.69,67.4,66.11,66.79,14389569
2026-05-22,67.3,67.44,66.62,67.05,18644183
2026-05-23,69.21,69.49,69.0,69.28,18425787
2026-05-24,70.28,71.01,69.98,70.57,5874245
2026-05-25,69.71,70.11,69.39,69.64,6009793
2026-05-26,69.57,69.61,68.74,69.23,18720304
2026-05-27,68.77,69.2,68.31,68.83,9689609
2026-05-28,67.97,68.95,67.88,68.56,9073704
2026-05-29,69.47,70.26,68.39,69.31,12131582
2026-05-30,69.44,71.44,69.36,70.37,18427065
2026-05-31,70.66,70.82,69.67,70.23,16339813
2026-06-01,71.57,71.69,71.07,71.33,12180132
2026-06-02,71.96,72.16,71.39,71.84,8094636
2026-06-03,73.43,74.07,72.74,73.38,1843072
2026-06-04,74.2,74.25,73.96,74.15,9145196
2026-06-05,75.08,75.24,74.44,74.81,4319647
2026-06-06,73.95,74.45,73.58,74.07,19777049
2026-06-07,72.23,74.17,71.14,72.39,18498728
2026-06-08,71.38,71.77,71.17,71.49,18610273
2026-06-09,70.89,71.25,70.8,70.97,1992699
2026-06-10,72.81,73.69,71.98,72.84,13068477
2026-06-11,72.81,73.25,72.51,72.85,16649803
2026-06-12,73.6,73.87,72.77,73.35,1634331
2026-06-13,71.85,72.7,70.87,71.86,4732869
2026-06-14,70.8,72.29,70.45,71.37,14592317
2026-06-15,69.97,70.0,69.7,69.86,5011414
2026-06-16,70.24,71.02,70.05,70.43,14318708
2026-06-17,70.36,71.45,69.21,70.57,18786897
2026-06-18,69.81,70.45,69.06,69.8,3956462
2026-06-19,69.91,70.08,69.65,69.88,3632890
2026-06-20,68.52,68.97,68.26,68.67,14573116
2026-06-21,67.35,68.8,66.13,67.93,9899203
2026-06-22,67.89,68.49,67.62,68.06,17637577
2026-06-23,67.02,70.23,65.99,68.39,16507670
2026-06-24,69.58,69.87,68.85,69.5,5640817
2026-06-25,71.03,72.53,70.65,71.59,17516179
2026-06-26,73.22,74.96,72.39,73.33,14791802
2026-06-27,72.45,73.23,71.65,72.46,3207370
2026-06-28,72.62,72.69,71.98,72.44,17588280
2026-06-29,69.78,71.82,69.56,70.59,6403196
2026-06-30,71.3,71.54,71.2,71.37,18277710
2026-07-01,72.59,72.69,71.47,71.89,1597210
2026-07-02,73.08,73.3,72.23,72.83,13826875
2026-07-03,73.26,74.49,72.44,73.21,3440123
2026-07-04,73.92,74.05,73.51,73.85,6942424
2026-07-05,72.67,73.5,72.44,73.01,4316928
2026-07-06,71.81,72.17,71.66,71.92,6275549
2026-07-07,71.48,71.94,70.99,71.42,14148869
2026-07-08,73.8,74.36,73.3,73.98,12682542
2026-07-09,76.04,76.47,76.01,76.19,14921591
2026-07-10,76.35,76.54,75.76,76.16,2862094
2026-07-11,76.0,76.84,75.59,76.38,14095258
2026-07-12,74.84,75.84,74.78,75.27,15521627
2026-07-13,75.24,76.81,74.34,75.66,5749569
2026-07-14,76.72,76.78,76.07,76.44,8080522
2026-07-15,76.32,76.43,75.89,76.21,2341537
2026-07-16,77.94,78.78,75.94,77.44,3535444
2026-07-17,75.46,75.51,75.12,75.25,12668123
2026-07-18,74.45,75.26,72.53,73.92,16039296
2026-07-19,74.8,74.81,74.18,74.43,13690067
2026-07-20,72.79,72.93,72.25,72.65,19655165
2026-07-21,72.14,72.58,70.92,72.02,19542354
2026-07-22,69.91,71.2,69.45,70.35,16301281
2026-07-23,70.92,71.22,70.69,70.94,5908280
2026-07-24,71.21,72.26,70.97,71.52,5953959
2026-07-25,70.3,70.69,70.11,70.4,16510523
2026-07-26,69.77,71.36,69.46,70.42,16472523
2026-07-27,69.98,70.58,69.85,70.29,6118864
2026-07-28,71.8,71.92,70.25,71.03,14949959
2026-07-29,70.23,70.8,69.65,70.25,12691515
2026-07-30,70.61,70.82,70.52,70.64,5373151
2026-07-31,70.12,70.26,68.92,69.71,19194100
2026-08-01,69.83,70.0,68.81,69.22,9864251
2026-08-02,69.3,69.71,69.14,69.38,17547801
2026-08-03,66.5,66.9,66.45,66.64,11385578
2026-08-04,66.05,66.68,65.34,65.94,1490576
2026-08-05,63.8,64.48,63.56,64.16,9633951
2026-08-06,64.34,64.86,64.04,64.37,1384192
2026-08-07,64.25,64.45,64.23,64.35,11700342
2026-08-08,64.19,64.24,63.89,64.05,7533288
2026-08-09,62.47,63.21,62.15,62.76,12568487
2026-08-10,62.86,63.18,61.27,62.44,12684815
2026-08-11,62.13,62.14,61.31,61.8,8292299
2026-08-12,61.48,61.94,61.12,61.58,15889417
2026-08-13,61.39,61.71,61.33,61.49,7632318
2026-08-14,60.66,61.6,60.51,61.14,14649641
2026-08-15,61.91,61.94,61.09,61.5,10844365
2026-08-16,61.57,62.0,61.56,61.8,4895944
